COMUNA,REGION,URBANIDAD,FPAGO,TIPOBENEFICIO,COBROMARZO,SEXO,ECIVIL,NACIONALIDAD,NOCOBRO
78,11,2,3,16,0,1,1,0,1
285,11,2,3,16,0,1,1,0,1
59,11,2,3,16,0,1,5,0,1
216,11,2,1,17,0,1,1,0,1
128,11,2,1,16,0,2,1,1,1
186,11,2,1,17,1,2,1,0,1
300,11,2,3,14,0,1,5,0,1
128,11,2,1,16,1,1,1,0,0
216,11,2,3,16,0,1,1,0,1
252,12,2,3,16,0,1,1,0,1
121,5,2,3,16,1,1,5,0,0
133,14,2,3,16,1,1,1,0,0
304,10,2,3,16,0,1,5,0,1
285,11,2,1,16,0,2,1,0,1
74,10,2,3,16,0,1,1,0,0
192,12,0,3,3,0,2,1,0,0
107,13,2,3,16,0,1,5,0,1
32,11,2,3,16,0,1,1,0,1
300,11,2,3,16,0,1,1,0,1
155,11,2,1,16,0,1,1,0,0
128,11,2,3,16,1,1,5,0,0
336,11,2,1,16,0,2,1,0,0
300,11,2,3,16,0,1,5,0,0
249,11,2,3,16,0,1,1,0,0
128,11,2,1,1,0,2,1,0,1
106,11,2,3,14,0,1,1,0,1
336,11,2,1,16,0,1,1,0,0
116,11,2,1,16,1,1,1,0,1
336,11,2,3,16,0,1,5,0,0
249,11,2,3,16,0,1,1,0,0
106,11,2,3,16,0,1,1,0,0
128,11,2,3,16,0,1,1,0,0
300,11,2,3,16,0,1,1,0,0
304,10,2,3,16,1,1,1,0,0
321,14,2,3,16,0,1,1,0,1
58,4,2,3,16,0,1,1,0,1
120,11,2,1,16,0,2,1,0,1
23,5,0,4,14,0,2,1,0,0
181,5,2,3,16,0,2,1,0,0
327,14,2,3,14,0,1,5,0,0
121,5,2,3,16,0,1,1,0,0
176,14,1,3,14,0,1,1,0,0
300,11,2,3,14,0,1,1,0,0
58,4,2,3,16,0,1,5,0,0
315,4,2,3,14,0,1,5,0,0
259,12,1,5,16,0,1,1,0,0
304,10,2,3,14,0,1,1,0,0
315,4,2,3,14,0,1,1,0,0
323,6,1,3,16,0,1,5,0,0
271,11,2,3,16,0,1,5,0,0
58,4,2,3,16,0,2,1,0,1
245,14,2,3,14,0,1,5,0,0
300,11,2,3,16,0,1,1,0,1
31,11,2,3,7,0,1,1,0,1
128,11,2,1,16,0,1,1,0,0
330,14,2,3,16,0,2,1,0,1
58,4,2,3,16,0,1,1,1,0
249,11,2,3,16,0,1,5,0,1
216,11,2,3,16,1,1,5,0,0
181,5,2,3,14,0,2,1,0,0
281,11,2,1,16,0,1,1,0,0
300,11,2,3,16,0,1,1,0,1
39,15,2,1,16,0,1,1,0,0
216,11,2,3,16,0,1,5,0,0
300,11,2,0,16,0,1,5,0,1
85,11,2,1,16,1,1,1,0,0
106,11,2,3,16,0,1,5,0,0
39,15,2,1,17,1,1,1,0,1
85,11,2,3,16,0,1,1,0,1
330,14,2,3,14,0,1,1,0,1
86,4,0,1,17,0,1,1,0,1
